Date;Group;Series;Value
05/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8237
06/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8251
07/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8275
10/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8278
11/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8278
12/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8275
13/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8302
14/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8299
17/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8302
18/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8295
19/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8268
20/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8285
21/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8282
24/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8316
25/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8299
26/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8285
27/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8244
28/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8258
01/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8241
02/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8251
03/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8254
04/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8295
05/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8299
08/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8302
09/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8337
10/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8333
11/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8292
12/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8288
15/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8282
16/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8234
17/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8258
18/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8217
19/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,821
22/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8197
23/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8163
29/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8177
30/12/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8187
02/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,822
05/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8214
07/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8187
08/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,819
09/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8177
12/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8167
13/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,816
14/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8123
15/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8117
16/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,81
19/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8114
20/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,813
21/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,812
22/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,817
23/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8163
26/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,813
27/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,811
28/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,816
